lesson,surface,item_id,proposed_item_id,source,category,reason,risk,in_lesson_surface,add_to_registry_now
L1,Bonjour,chunk-bonjour,,lesson content,Carryover,current lesson inventory,low,yes,already-registered
L1,merci,chunk-merci,,lesson content,Active,current lesson inventory,low,yes,already-registered
L1,s'il vous plaît,chunk-sil-vous-plait,,lesson content,Carryover,current lesson inventory,low,yes,already-registered
L1,je voudrais,chunk-je-voudrais,,lesson content,Carryover,current lesson inventory,low,yes,already-registered
L1,café,noun-cafe,,lesson content,Carryover,current lesson inventory,low,yes,already-registered
L2,je suis,chunk-je-suis,,lesson content,Active,current lesson inventory,low,yes,already-registered
L2,je suis ici,chunk-je-suis-ici,,lesson content,Active,current lesson inventory,low,yes,already-registered
L2,Bonjour,chunk-bonjour,,lesson content,Carryover,current lesson inventory,low,yes,already-registered
L2,ici,,(needs id: see R3),lesson content (unregistered chip),Supported,produced chip without registry identity,REVIEW (R3),yes,future registry pass
L3,non,chunk-non,,lesson content,Active,current lesson inventory,low,yes,already-registered
L3,oui,chunk-oui,,lesson content,Active,current lesson inventory,low,yes,already-registered
L3,je ne suis pas,chunk-je-ne-suis-pas,,lesson content,Active,current lesson inventory,low,yes,already-registered
L3,ce n'est pas,chunk-ce-n-est-pas,,lesson content,Active,current lesson inventory,low,yes,already-registered
L3,non merci,chunk-non-merci,,lesson content,Supported,current lesson inventory,low,yes,already-registered
L3,ne ... pas wraps the action,grammar-ne-pas-sandwich,,lesson content,Exposure,current lesson inventory,low,yes,already-registered
L3,ici,,(needs id: see R3),lesson content (unregistered chip),Supported,produced chip without registry identity,REVIEW (R3),yes,future registry pass
L4,j'ai,chunk-j-ai,,lesson content,Active,current lesson inventory,low,yes,already-registered
L4,j'ai faim,chunk-j-ai-faim,,lesson content,Active,current lesson inventory,low,yes,already-registered
L4,j'ai une question,chunk-j-ai-une-question,,lesson content,Active,current lesson inventory,low,yes,already-registered
L4,je suis vs j'ai,micro-je-suis-vs-j-ai,,lesson content,Exposure,current lesson inventory,low,yes,already-registered
L4,elision (j' / c' / l' / d' / s'),sound-elision,,lesson content,Exposure,current lesson inventory,low,yes,already-registered
L4,question,noun-question,,lesson content,Supported,current lesson inventory,low,yes,already-registered
L4,faim,,(needs id: see R3),lesson content (unregistered chip),Supported,produced chip without registry identity,REVIEW (R3),yes,future registry pass
L5,un café,chunk-un-cafe,,lesson content,Active,current lesson inventory,low,yes,already-registered
L5,une question,chunk-une-question,,lesson content,Active,current lesson inventory,low,yes,already-registered
L5,un and une are little packages,grammar-un-une-package,,lesson content,Exposure,current lesson inventory,low,yes,already-registered
L5,café,noun-cafe,,lesson content,Carryover,current lesson inventory,low,yes,already-registered
L5,question,noun-question,,lesson content,Carryover,current lesson inventory,low,yes,already-registered
L5,je voudrais,chunk-je-voudrais,,lesson content,Carryover,current lesson inventory,low,yes,already-registered
L5,j'ai,chunk-j-ai,,lesson content,Carryover,current lesson inventory,low,yes,already-registered
L6,au revoir,chunk-au-revoir,,lesson content,Active,current lesson inventory,low,yes,already-registered
L6,Bonjour,chunk-bonjour,,lesson content,Carryover,current lesson inventory,low,yes,already-registered
L6,je suis ici,chunk-je-suis-ici,,lesson content,Carryover,current lesson inventory,low,yes,already-registered
L6,je suis,chunk-je-suis,,lesson content,Carryover,current lesson inventory,low,yes,already-registered
L6,je ne suis pas,chunk-je-ne-suis-pas,,lesson content,Carryover,current lesson inventory,low,yes,already-registered
L6,non merci,chunk-non-merci,,lesson content,Carryover,current lesson inventory,low,yes,already-registered
L6,j'ai,chunk-j-ai,,lesson content,Carryover,current lesson inventory,low,yes,already-registered
L6,j'ai une question,chunk-j-ai-une-question,,lesson content,Carryover,current lesson inventory,low,yes,already-registered
L6,une question,chunk-une-question,,lesson content,Carryover,current lesson inventory,low,yes,already-registered
L6,merci,chunk-merci,,lesson content,Carryover,current lesson inventory,low,yes,already-registered
L6,ici,,(needs id: see R3),lesson content (unregistered chip),Supported,produced chip without registry identity,REVIEW (R3),yes,future registry pass
L7,je vais,chunk-je-vais,,lesson content,Active,current lesson inventory,low,yes,already-registered
L7,à la maison,chunk-a-la-maison,,lesson content,Supported,current lesson inventory,low,yes,already-registered
L7,au revoir,chunk-au-revoir,,lesson content,Carryover,current lesson inventory,low,yes,already-registered
L7,merci,chunk-merci,,lesson content,Carryover,current lesson inventory,low,yes,already-registered
L8,c'est où ?,chunk-c-est-ou,,lesson content,Active,current lesson inventory,low,yes,already-registered
L8,où,adverb-ou-where,,lesson content,Supported,current lesson inventory,low,yes,already-registered
L8,c'est,chunk-c-est,,lesson content,Supported,current lesson inventory,low,yes,already-registered
L8,Bonjour,chunk-bonjour,,lesson content,Carryover,current lesson inventory,low,yes,already-registered
L8,ici,,(needs id: see R3),lesson content (unregistered chip),Supported,produced chip without registry identity,REVIEW (R3),yes,future registry pass
L9,faire une pause,chunk-faire-une-pause,,lesson content,Active,current lesson inventory,low,yes,already-registered
L9,pause,noun-pause,,lesson content,Supported,current lesson inventory,low,yes,already-registered
L9,je voudrais,chunk-je-voudrais,,lesson content,Carryover,current lesson inventory,low,yes,already-registered
L9,s'il vous plaît,chunk-sil-vous-plait,,lesson content,Carryover,current lesson inventory,low,yes,already-registered
L10,c'est où ?,chunk-c-est-ou,,lesson content,Carryover,current lesson inventory,low,yes,already-registered
L10,où,adverb-ou-where,,lesson content,Carryover,current lesson inventory,low,yes,already-registered
L10,c'est,chunk-c-est,,lesson content,Carryover,current lesson inventory,low,yes,already-registered
L10,Bonjour,chunk-bonjour,,lesson content,Carryover,current lesson inventory,low,yes,already-registered
L10,je voudrais,chunk-je-voudrais,,lesson content,Carryover,current lesson inventory,low,yes,already-registered
L10,faire une pause,chunk-faire-une-pause,,lesson content,Carryover,current lesson inventory,low,yes,already-registered
L10,je vais,chunk-je-vais,,lesson content,Carryover,current lesson inventory,low,yes,already-registered
L10,à la maison,chunk-a-la-maison,,lesson content,Carryover,current lesson inventory,low,yes,already-registered
L10,au revoir,chunk-au-revoir,,lesson content,Carryover,current lesson inventory,low,yes,already-registered
L10,vous pouvez,chunk-vous-pouvez,,lesson content,Supported,current lesson inventory,low,yes,already-registered
L10,m'aider,chunk-m-aider,,lesson content,Supported,current lesson inventory,low,yes,already-registered
L11,je peux,chunk-je-peux,,lesson content,Active,current lesson inventory,low,yes,already-registered
L11,ne ... pas wraps the action,grammar-ne-pas-sandwich,,lesson content,Carryover,current lesson inventory,low,yes,already-registered
L11,vous pouvez,chunk-vous-pouvez,,lesson content,Carryover,current lesson inventory,low,yes,already-registered
L11,aider,verb-aider,,lesson content,Supported,current lesson inventory,low,yes,already-registered
L11,m'aider,chunk-m-aider,,lesson content,Carryover,current lesson inventory,low,yes,already-registered
L11,faire une pause,chunk-faire-une-pause,,lesson content,Carryover,current lesson inventory,low,yes,already-registered
L11,s'il vous plaît,chunk-sil-vous-plait,,lesson content,Carryover,current lesson inventory,low,yes,already-registered
L12,est-ce que,chunk-est-ce-que,,lesson content,Active,current lesson inventory,low,yes,already-registered
L12,je peux,chunk-je-peux,,lesson content,Carryover,current lesson inventory,low,yes,already-registered
L12,c'est,chunk-c-est,,lesson content,Carryover,current lesson inventory,low,yes,already-registered
L12,faire une pause,chunk-faire-une-pause,,lesson content,Carryover,current lesson inventory,low,yes,already-registered
L12,vous pouvez,chunk-vous-pouvez,,lesson content,Carryover,current lesson inventory,low,yes,already-registered
L12,m'aider,chunk-m-aider,,lesson content,Carryover,current lesson inventory,low,yes,already-registered
L12,s'il vous plaît,chunk-sil-vous-plait,,lesson content,Carryover,current lesson inventory,low,yes,already-registered
L12,ici,,(needs id: see R3),lesson content (unregistered chip),Supported,produced chip without registry identity,REVIEW (R3),yes,future registry pass
L13,est-ce que,chunk-est-ce-que,,lesson content,Carryover,current lesson inventory,low,yes,already-registered
L13,je peux,chunk-je-peux,,lesson content,Carryover,current lesson inventory,low,yes,already-registered
L13,vous pouvez,chunk-vous-pouvez,,lesson content,Carryover,current lesson inventory,low,yes,already-registered
L13,m'aider,chunk-m-aider,,lesson content,Carryover,current lesson inventory,low,yes,already-registered
L13,faire une pause,chunk-faire-une-pause,,lesson content,Carryover,current lesson inventory,low,yes,already-registered
L13,ne ... pas wraps the action,grammar-ne-pas-sandwich,,lesson content,Carryover,current lesson inventory,low,yes,already-registered
L13,je vais,chunk-je-vais,,lesson content,Carryover,current lesson inventory,low,yes,already-registered
L13,à la maison,chunk-a-la-maison,,lesson content,Carryover,current lesson inventory,low,yes,already-registered
L13,c'est,chunk-c-est,,lesson content,Carryover,current lesson inventory,low,yes,already-registered
L13,s'il vous plaît,chunk-sil-vous-plait,,lesson content,Carryover,current lesson inventory,low,yes,already-registered
L13,j'y vais,chunk-j-y-vais,,lesson content,Active,current lesson inventory,low,yes,already-registered
L13,y,word-y-place,,lesson content,Active,current lesson inventory,low,yes,already-registered
L14,y,word-y-place,,lesson content,Carryover,current lesson inventory,low,yes,already-registered
L14,j'y vais,chunk-j-y-vais,,lesson content,Carryover,current lesson inventory,low,yes,already-registered
L14,on y va,chunk-on-y-va,,lesson content,Active,current lesson inventory,low,yes,already-registered
L14,je vais,chunk-je-vais,,lesson content,Carryover,current lesson inventory,low,yes,already-registered
L14,à la maison,chunk-a-la-maison,,lesson content,Carryover,current lesson inventory,low,yes,already-registered
L14,au revoir,chunk-au-revoir,,lesson content,Carryover,current lesson inventory,low,yes,already-registered
L15,il faut,chunk-il-faut,,lesson content,Active,current lesson inventory,low,yes,already-registered
L15,je dois,chunk-je-dois,,lesson content,Supported,current lesson inventory,low,yes,already-registered
L15,aller,verb-aller,,lesson content,Supported,current lesson inventory,low,yes,already-registered
L15,faire une pause,chunk-faire-une-pause,,lesson content,Carryover,current lesson inventory,low,yes,already-registered
L15,à la maison,chunk-a-la-maison,,lesson content,Carryover,current lesson inventory,low,yes,already-registered
L15,je peux,chunk-je-peux,,lesson content,Carryover,current lesson inventory,low,yes,already-registered
L6,je voudrais,chunk-je-voudrais,,owned inventory (carryover pool),Carryover,owned since L0; available for recombination,low,no,already-registered
L6,café,noun-cafe,,owned inventory (carryover pool),Carryover,owned since L0; available for recombination,low,no,already-registered
L6,s'il vous plaît,chunk-sil-vous-plait,,owned inventory (carryover pool),Carryover,owned since L0; available for recombination,low,no,already-registered
L6,non,chunk-non,,owned inventory (carryover pool),Carryover,owned since L3; available for recombination,low,no,already-registered
L6,oui,chunk-oui,,owned inventory (carryover pool),Carryover,owned since L3; available for recombination,low,no,already-registered
L6,ce n'est pas,chunk-ce-n-est-pas,,owned inventory (carryover pool),Carryover,owned since L3; available for recombination,low,no,already-registered
L6,j'ai faim,chunk-j-ai-faim,,owned inventory (carryover pool),Carryover,owned since L4; available for recombination,low,no,already-registered
L6,question,noun-question,,owned inventory (carryover pool),Carryover,owned since L4; available for recombination,low,no,already-registered
L6,un café,chunk-un-cafe,,owned inventory (carryover pool),Carryover,owned since L5; available for recombination,low,no,already-registered
L7,Bonjour,chunk-bonjour,,owned inventory (carryover pool),Carryover,owned since L0; available for recombination,low,no,already-registered
L7,je voudrais,chunk-je-voudrais,,owned inventory (carryover pool),Carryover,owned since L0; available for recombination,low,no,already-registered
L7,café,noun-cafe,,owned inventory (carryover pool),Carryover,owned since L0; available for recombination,low,no,already-registered
L7,s'il vous plaît,chunk-sil-vous-plait,,owned inventory (carryover pool),Carryover,owned since L0; available for recombination,low,no,already-registered
L7,je suis,chunk-je-suis,,owned inventory (carryover pool),Carryover,owned since L2; available for recombination,low,no,already-registered
L7,je suis ici,chunk-je-suis-ici,,owned inventory (carryover pool),Carryover,owned since L2; available for recombination,low,no,already-registered
L7,non,chunk-non,,owned inventory (carryover pool),Carryover,owned since L3; available for recombination,low,no,already-registered
L7,oui,chunk-oui,,owned inventory (carryover pool),Carryover,owned since L3; available for recombination,low,no,already-registered
L7,je ne suis pas,chunk-je-ne-suis-pas,,owned inventory (carryover pool),Carryover,owned since L3; available for recombination,low,no,already-registered
L7,ce n'est pas,chunk-ce-n-est-pas,,owned inventory (carryover pool),Carryover,owned since L3; available for recombination,low,no,already-registered
L7,non merci,chunk-non-merci,,owned inventory (carryover pool),Carryover,owned since L3; available for recombination,low,no,already-registered
L7,j'ai,chunk-j-ai,,owned inventory (carryover pool),Carryover,owned since L4; available for recombination,low,no,already-registered
L7,j'ai faim,chunk-j-ai-faim,,owned inventory (carryover pool),Carryover,owned since L4; available for recombination,low,no,already-registered
L7,j'ai une question,chunk-j-ai-une-question,,owned inventory (carryover pool),Carryover,owned since L4; available for recombination,low,no,already-registered
L7,question,noun-question,,owned inventory (carryover pool),Carryover,owned since L4; available for recombination,low,no,already-registered
L7,un café,chunk-un-cafe,,owned inventory (carryover pool),Carryover,owned since L5; available for recombination,low,no,already-registered
L7,une question,chunk-une-question,,owned inventory (carryover pool),Carryover,owned since L5; available for recombination,low,no,already-registered
L8,je voudrais,chunk-je-voudrais,,owned inventory (carryover pool),Carryover,owned since L0; available for recombination,low,no,already-registered
L8,café,noun-cafe,,owned inventory (carryover pool),Carryover,owned since L0; available for recombination,low,no,already-registered
L8,s'il vous plaît,chunk-sil-vous-plait,,owned inventory (carryover pool),Carryover,owned since L0; available for recombination,low,no,already-registered
L8,merci,chunk-merci,,owned inventory (carryover pool),Carryover,owned since L1; available for recombination,low,no,already-registered
L8,je suis,chunk-je-suis,,owned inventory (carryover pool),Carryover,owned since L2; available for recombination,low,no,already-registered
L8,je suis ici,chunk-je-suis-ici,,owned inventory (carryover pool),Carryover,owned since L2; available for recombination,low,no,already-registered
L8,non,chunk-non,,owned inventory (carryover pool),Carryover,owned since L3; available for recombination,low,no,already-registered
L8,oui,chunk-oui,,owned inventory (carryover pool),Carryover,owned since L3; available for recombination,low,no,already-registered
L8,je ne suis pas,chunk-je-ne-suis-pas,,owned inventory (carryover pool),Carryover,owned since L3; available for recombination,low,no,already-registered
L8,ce n'est pas,chunk-ce-n-est-pas,,owned inventory (carryover pool),Carryover,owned since L3; available for recombination,low,no,already-registered
L8,non merci,chunk-non-merci,,owned inventory (carryover pool),Carryover,owned since L3; available for recombination,low,no,already-registered
L8,j'ai,chunk-j-ai,,owned inventory (carryover pool),Carryover,owned since L4; available for recombination,low,no,already-registered
L8,j'ai faim,chunk-j-ai-faim,,owned inventory (carryover pool),Carryover,owned since L4; available for recombination,low,no,already-registered
L8,j'ai une question,chunk-j-ai-une-question,,owned inventory (carryover pool),Carryover,owned since L4; available for recombination,low,no,already-registered
L8,question,noun-question,,owned inventory (carryover pool),Carryover,owned since L4; available for recombination,low,no,already-registered
L8,un café,chunk-un-cafe,,owned inventory (carryover pool),Carryover,owned since L5; available for recombination,low,no,already-registered
L8,une question,chunk-une-question,,owned inventory (carryover pool),Carryover,owned since L5; available for recombination,low,no,already-registered
L8,au revoir,chunk-au-revoir,,owned inventory (carryover pool),Carryover,owned since L6; available for recombination,low,no,already-registered
L8,je vais,chunk-je-vais,,owned inventory (carryover pool),Carryover,owned since L7; available for recombination,low,no,already-registered
L8,à la maison,chunk-a-la-maison,,owned inventory (carryover pool),Carryover,owned since L7; available for recombination,low,no,already-registered
L9,Bonjour,chunk-bonjour,,owned inventory (carryover pool),Carryover,owned since L0; available for recombination,low,no,already-registered
L9,café,noun-cafe,,owned inventory (carryover pool),Carryover,owned since L0; available for recombination,low,no,already-registered
L9,merci,chunk-merci,,owned inventory (carryover pool),Carryover,owned since L1; available for recombination,low,no,already-registered
L9,je suis,chunk-je-suis,,owned inventory (carryover pool),Carryover,owned since L2; available for recombination,low,no,already-registered
L9,je suis ici,chunk-je-suis-ici,,owned inventory (carryover pool),Carryover,owned since L2; available for recombination,low,no,already-registered
L9,non,chunk-non,,owned inventory (carryover pool),Carryover,owned since L3; available for recombination,low,no,already-registered
L9,oui,chunk-oui,,owned inventory (carryover pool),Carryover,owned since L3; available for recombination,low,no,already-registered
L9,je ne suis pas,chunk-je-ne-suis-pas,,owned inventory (carryover pool),Carryover,owned since L3; available for recombination,low,no,already-registered
L9,ce n'est pas,chunk-ce-n-est-pas,,owned inventory (carryover pool),Carryover,owned since L3; available for recombination,low,no,already-registered
L9,non merci,chunk-non-merci,,owned inventory (carryover pool),Carryover,owned since L3; available for recombination,low,no,already-registered
L9,j'ai,chunk-j-ai,,owned inventory (carryover pool),Carryover,owned since L4; available for recombination,low,no,already-registered
L9,j'ai faim,chunk-j-ai-faim,,owned inventory (carryover pool),Carryover,owned since L4; available for recombination,low,no,already-registered
L9,j'ai une question,chunk-j-ai-une-question,,owned inventory (carryover pool),Carryover,owned since L4; available for recombination,low,no,already-registered
L9,question,noun-question,,owned inventory (carryover pool),Carryover,owned since L4; available for recombination,low,no,already-registered
L9,un café,chunk-un-cafe,,owned inventory (carryover pool),Carryover,owned since L5; available for recombination,low,no,already-registered
L9,une question,chunk-une-question,,owned inventory (carryover pool),Carryover,owned since L5; available for recombination,low,no,already-registered
L9,au revoir,chunk-au-revoir,,owned inventory (carryover pool),Carryover,owned since L6; available for recombination,low,no,already-registered
L9,je vais,chunk-je-vais,,owned inventory (carryover pool),Carryover,owned since L7; available for recombination,low,no,already-registered
L9,à la maison,chunk-a-la-maison,,owned inventory (carryover pool),Carryover,owned since L7; available for recombination,low,no,already-registered
L9,c'est où ?,chunk-c-est-ou,,owned inventory (carryover pool),Carryover,owned since L8; available for recombination,low,no,already-registered
L9,où,adverb-ou-where,,owned inventory (carryover pool),Carryover,owned since L8; available for recombination,low,no,already-registered
L9,c'est,chunk-c-est,,owned inventory (carryover pool),Carryover,owned since L8; available for recombination,low,no,already-registered
L10,café,noun-cafe,,owned inventory (carryover pool),Carryover,owned since L0; available for recombination,low,no,already-registered
L10,s'il vous plaît,chunk-sil-vous-plait,,owned inventory (carryover pool),Carryover,owned since L0; available for recombination,low,no,already-registered
L10,merci,chunk-merci,,owned inventory (carryover pool),Carryover,owned since L1; available for recombination,low,no,already-registered
L10,je suis,chunk-je-suis,,owned inventory (carryover pool),Carryover,owned since L2; available for recombination,low,no,already-registered
L10,je suis ici,chunk-je-suis-ici,,owned inventory (carryover pool),Carryover,owned since L2; available for recombination,low,no,already-registered
L10,non,chunk-non,,owned inventory (carryover pool),Carryover,owned since L3; available for recombination,low,no,already-registered
L10,oui,chunk-oui,,owned inventory (carryover pool),Carryover,owned since L3; available for recombination,low,no,already-registered
L10,je ne suis pas,chunk-je-ne-suis-pas,,owned inventory (carryover pool),Carryover,owned since L3; available for recombination,low,no,already-registered
L10,ce n'est pas,chunk-ce-n-est-pas,,owned inventory (carryover pool),Carryover,owned since L3; available for recombination,low,no,already-registered
L10,non merci,chunk-non-merci,,owned inventory (carryover pool),Carryover,owned since L3; available for recombination,low,no,already-registered
L10,j'ai,chunk-j-ai,,owned inventory (carryover pool),Carryover,owned since L4; available for recombination,low,no,already-registered
L10,j'ai faim,chunk-j-ai-faim,,owned inventory (carryover pool),Carryover,owned since L4; available for recombination,low,no,already-registered
L10,j'ai une question,chunk-j-ai-une-question,,owned inventory (carryover pool),Carryover,owned since L4; available for recombination,low,no,already-registered
L10,question,noun-question,,owned inventory (carryover pool),Carryover,owned since L4; available for recombination,low,no,already-registered
L10,un café,chunk-un-cafe,,owned inventory (carryover pool),Carryover,owned since L5; available for recombination,low,no,already-registered
L10,une question,chunk-une-question,,owned inventory (carryover pool),Carryover,owned since L5; available for recombination,low,no,already-registered
L10,pause,noun-pause,,owned inventory (carryover pool),Carryover,owned since L9; available for recombination,low,no,already-registered
L11,Bonjour,chunk-bonjour,,owned inventory (carryover pool),Carryover,owned since L0; available for recombination,low,no,already-registered
L11,je voudrais,chunk-je-voudrais,,owned inventory (carryover pool),Carryover,owned since L0; available for recombination,low,no,already-registered
L11,café,noun-cafe,,owned inventory (carryover pool),Carryover,owned since L0; available for recombination,low,no,already-registered
L11,merci,chunk-merci,,owned inventory (carryover pool),Carryover,owned since L1; available for recombination,low,no,already-registered
L11,je suis,chunk-je-suis,,owned inventory (carryover pool),Carryover,owned since L2; available for recombination,low,no,already-registered
L11,je suis ici,chunk-je-suis-ici,,owned inventory (carryover pool),Carryover,owned since L2; available for recombination,low,no,already-registered
L11,non,chunk-non,,owned inventory (carryover pool),Carryover,owned since L3; available for recombination,low,no,already-registered
L11,oui,chunk-oui,,owned inventory (carryover pool),Carryover,owned since L3; available for recombination,low,no,already-registered
L11,je ne suis pas,chunk-je-ne-suis-pas,,owned inventory (carryover pool),Carryover,owned since L3; available for recombination,low,no,already-registered
L11,ce n'est pas,chunk-ce-n-est-pas,,owned inventory (carryover pool),Carryover,owned since L3; available for recombination,low,no,already-registered
L11,non merci,chunk-non-merci,,owned inventory (carryover pool),Carryover,owned since L3; available for recombination,low,no,already-registered
L11,j'ai,chunk-j-ai,,owned inventory (carryover pool),Carryover,owned since L4; available for recombination,low,no,already-registered
L11,j'ai faim,chunk-j-ai-faim,,owned inventory (carryover pool),Carryover,owned since L4; available for recombination,low,no,already-registered
L11,j'ai une question,chunk-j-ai-une-question,,owned inventory (carryover pool),Carryover,owned since L4; available for recombination,low,no,already-registered
L11,question,noun-question,,owned inventory (carryover pool),Carryover,owned since L4; available for recombination,low,no,already-registered
L11,un café,chunk-un-cafe,,owned inventory (carryover pool),Carryover,owned since L5; available for recombination,low,no,already-registered
L11,une question,chunk-une-question,,owned inventory (carryover pool),Carryover,owned since L5; available for recombination,low,no,already-registered
L11,au revoir,chunk-au-revoir,,owned inventory (carryover pool),Carryover,owned since L6; available for recombination,low,no,already-registered
L11,je vais,chunk-je-vais,,owned inventory (carryover pool),Carryover,owned since L7; available for recombination,low,no,already-registered
L11,à la maison,chunk-a-la-maison,,owned inventory (carryover pool),Carryover,owned since L7; available for recombination,low,no,already-registered
L11,c'est où ?,chunk-c-est-ou,,owned inventory (carryover pool),Carryover,owned since L8; available for recombination,low,no,already-registered
L11,où,adverb-ou-where,,owned inventory (carryover pool),Carryover,owned since L8; available for recombination,low,no,already-registered
L11,c'est,chunk-c-est,,owned inventory (carryover pool),Carryover,owned since L8; available for recombination,low,no,already-registered
L11,pause,noun-pause,,owned inventory (carryover pool),Carryover,owned since L9; available for recombination,low,no,already-registered
L12,Bonjour,chunk-bonjour,,owned inventory (carryover pool),Carryover,owned since L0; available for recombination,low,no,already-registered
L12,je voudrais,chunk-je-voudrais,,owned inventory (carryover pool),Carryover,owned since L0; available for recombination,low,no,already-registered
L12,café,noun-cafe,,owned inventory (carryover pool),Carryover,owned since L0; available for recombination,low,no,already-registered
